TIME.SecOfWeek   blh0.B        blh0.L        blh0.H      X       Y        Z       Dop       sigma0     mpos  
487647.000000  30.5100283708  114.3560547721  39.5102382572  -2268150.8174798065  5010321.9135031421  3219232.4758542576    1.4092    4.2815    6.0334  
487648.000000  30.5100283599  114.3560547815  39.5263716439  -2268150.8242933541  5010321.9263492627  3219232.4830044098    1.4090    4.2802    6.0309  
487649.000000  30.5100283749  114.3560548687  39.5246382374  -2268150.8309523202  5010321.9207669562  3219232.4835598324    1.4089    4.2768    6.0257  
487650.000000  30.5100283627  114.3560549277  39.5274608238  -2268150.8373950743  5010321.9212714136  3219232.4838307058    1.4088    4.2736    6.0205  
487651.000000  30.5100284188  114.3560549325  39.5588231860  -2268150.8476510867  5010321.9428207781  3219232.5051135099    1.4086    4.2812    6.0305  
487652.000000  30.5100283214  114.3560548648  39.5507269436  -2268150.8411246012  5010321.9441388845  3219232.4916960699    1.4085    4.2671    6.0101  
487653.000000  30.5100283554  114.3560549124  39.5651488174  -2268150.8496136577  5010321.9518324155  3219232.5022680983    1.4083    4.2640    6.0052  
487654.000000  30.5100283368  114.3560549067  39.5599086946  -2268150.8476887289  5010321.9489003671  3219232.4978265446    1.4082    4.2576    5.9956  
487655.000000  30.5100283235  114.3560549222  39.5594952079  -2268150.8492052970  5010321.9486413877  3219232.4963511010    1.4081    4.2554    5.9919  
487656.000000  30.5100282659  114.3560549397  39.5523211295  -2268150.8495272598  5010321.9452744108  3219232.4872001149    1.4079    4.2455    5.9774  
487657.000000  30.5100282596  114.3560549187  39.5514701577  -2268150.8475289587  5010321.9457626268  3219232.4861676921    1.4078    4.2436    5.9740  
487658.000000  30.5100282591  114.3560549538  39.5518643688  -2268150.8507508240  5010321.9447057787  3219232.4863232011    1.4076    4.2400    5.9684  
487659.000000  30.5100282492  114.3560548861  39.5489933928  -2268150.8440410849  5010321.9456383502  3219232.4839222892    1.4075    4.2365    5.9629  
487660.000000  30.5100282176  114.3560549110  39.5449054362  -2268150.8454991877  5010321.9430686561  3219232.4788223798    1.4074    4.2304    5.9537  
487661.000000  30.5100281877  114.3560548705  39.5420609303  -2268150.8416407690  5010321.9439704511  3219232.4745256989    1.4072    4.2239    5.9440  
487662.000000  30.5100281610  114.3560548850  39.5308516594  -2268150.8395503364  5010321.9359671250  3219232.4662824376    1.4071    4.2184    5.9356  
